17823	60809	42026	14754	45414	44192	34375	43820	29375	29658	24885	45957	64185	27498	55266	37262
17637	60656	41949	14628	44971	44535	34256	42546	28950	29218	24310	44363	61708	27461	53718	36975
17838	61551	42261	14762	45343	44039	34245	42866	29006	29827	24545	44900	63087	27483	55679	37324
18124	65111	43371	14988	46888	45920	35152	44971	30024	30743	25124	47600	67333	28309	57197	38729
18020	62924	42435	14835	46325	45540	34894	44414	29981	30441	24885	46586	65990	27804	55010	37860
17429	58365	41126	14538	43470	43371	34009	41871	28725	29879	24214	42947	60233	26833	51903	35902
17246	56044	40031	14428	41733	41473	32929	40652	27834	28606	23838	42371	57831	26579	51138	35209
17950	60626	42387	14773	45720	43820	34517	43093	29317	29516	24649	45183	63251	27528	55163	37489
17845	61645	42104	14713	45738	45129	34616	42802	29591	29785	24485	44466	63251	27557	53694	37400
17740	60173	41549	14773	45129	44107	34583	43753	29709	30214	24779	45378	63549	27315	54208	37224
17762	60053	41702	14773	45361	44124	34705	43686	29913	30627	24798	45343	63782	27366	54085	37124
18042	62567	43012	14903	46568	45576	35680	44778	30494	30565	25509	46549	66276	27993	56763	37873
17910	61708	43355	14898	45378	45200	35820	44414	30076	30565	25457	46344	64731	28162	56790	37149
17665	58450	40506	14617	44363	43289	34041	42609	29591	30119	24521	44107	62151	27011	52550	36341
17626	59344	40947	14599	43904	43669	34191	42042	29533	30310	24564	44432	62374	27358	52457	36546
17266	56548	39959	14365	42498	42230	33775	40784	29128	29383	24286	42261	60474	26748	50500	35186
17637	57999	40755	14498	43586	42657	33482	40696	29006	29566	24019	42340	60595	26925	51540	36317
17712	59285	40652	14633	44022	42673	33786	41794	29466	29785	24310	43938	62439	27097	52855	36365
17552	59696	41610	14593	43174	43305	34638	41702	29325	29350	24866	43669	62697	27388	54036	36269
18394	65848	43770	15133	47697	46493	36020	44988	31096	31178	25509	47078	68727	28472	58308	38850
18120	63749	42979	15027	46474	46474	36055	45183	30978	30923	25502	47193	67111	28100	55835	38264
17987	61834	42230	14830	45957	45396	35175	43060	30336	31344	24804	44674	63950	27721	53840	37565
17925	60053	42403	14881	45236	44500	35323	43454	30084	30275	24978	44639	63317	27654	54858	37149
17969	62214	43077	14900	46177	45343	35843	43158	30565	30932	25130	44656	65215	27887	55112	37514
17845	61960	42562	14802	45289	45361	35878	43470	30806	30959	25347	45041	65777	28047	54307	36987
17733	59431	41488	14732	43669	43719	34583	42403	29658	30654	24835	43938	61960	27557	53596	36138
17601	58937	41458	14703	43404	43636	34961	42419	29794	30319	25054	43988	61960	27351	53621	36079
17218	55757	39988	14488	42011	42277	34020	40873	28926	29785	24364	41610	57748	26489	51138	34671
17301	56282	39974	14386	41794	42042	33881	40477	28966	28998	24472	42104	59461	26762	51405	34983
17719	59934	41980	14759	44449	44535	35575	43028	30672	31243	25302	44226	64017	27483	53427	36583
18383	64355	43653	15181	48231	47002	37237	45847	31927	31142	25924	47251	67592	28324	57526	38770
18356	63749	44158	15184	47736	46643	37350	46270	31756	31502	26065	47541	68004	28465	57915	38850
18064	61054	42419	14947	45738	44674	35334	43736	30538	31353	25321	44988	64525	27617	55939	37540
17980	44552	40346	14808	46140	45343	31737	44107	29904	30188	25092	45076	64834	25130	54357	37425
16991	28449	37718	13657	44813	44056	28208	40521	28355	28622	25168	43887	61333	21175	54507	35483
14100	13324	32100	10403	42882	37718	20896	30153	26241	26344	25168	43988	49248	13244	50982	30371
11959	9782.4	28543	8685.4	38489	30690	16703	25315	24436	24545	24785	43125	40977	10224	44570	28678
9134.1	6771.5	23861	6801.6	28504	18444	11639	19172	21621	21204	24742	43870	31078	7758.5	33733	26317
8062.1	5896.6	21740	6139.7	21977	13583	9869.6	16249	19237	18784	24292	41825	26379	6830	28678	24491
6998.2	5085.9	19200	5336.4	14783	8896.9	7988.3	13182	16259	16141	23653	41810	21314	5718.7	21861	23169
6650	4874.2	18333	5070.2	12313	7498.5	7468.9	12178	15033	14636	24202	44192	19610	5415.3	19435	22966
6136.3	4568.7	16334	4673.4	9234.4	5806.9	6504.1	10058	12549	12441	23037	44073	16544	4916.9	14681	21886
5845.6	4451.5	15423	4465.8	8002.1	5245.4	6044.2	8861.4	11213	11313	21866	41825	15066	4675.9	12557	20845
5538.6	4348.8	13903	4164.7	6732.3	4662.8	5371.7	7392.3	9576.1	9595	19913	41037	13175	4386.3	9862	20065
5459.3	4403.4	13585	4071.1	6296	4529.1	5122.2	6709	8867.9	8953.8	19389	41096	12602	4369.8	9011.1	20140
5235.5	4350.5	12540	3883.3	5652.6	4309.3	4701	5632.1	7871.2	7930	17577	39232	11470	4222.8	7687	19274
5123.5	4324.3	11851	3763.7	5353	4165.8	4424.1	5050.5	7292.1	7468.9	16054	37161	10879	4124	7146.3	18800
4947.3	4330.7	10917	3580.9	4989.9	4067.8	4184.4	4366.3	6632.5	6587	14288	35039	10213	4070	6621.6	18299
4979.9	4423.5	10740	3583.3	4941.3	4095.3	4105.2	4114.6	6448	6564.3	13571	35680	10072	4087	6505.8	18597
4846.2	4417.6	10089	3472.4	4713.6	4031.8	3950.5	3639.4	5961	5982.1	11894	33173	9571.7	4061.2	6313.2	18112
4691.6	4315.1	9364.3	3314.1	4455.7	3881.7	3782.6	3385.7	5635.1	5664.9	10694	29667	9051.4	3963.3	6084.7	17201
4587.8	4324.9	8811.8	3233.5	4329.6	3882.8	3701.4	3126.8	5349.4	5295.7	9325	27140	8739.3	3971.3	5993.5	16918
4625.4	4419.4	8668.9	3220.9	4301.2	3905.9	3692.3	3036.6	5312.8	5240.5	8841.8	27483	8801.4	4049.2	6049.2	17249
4521.2	4453.3	8212.5	3144.3	4208	3881.2	3619.7	2855.4	5117.4	5217.3	7789.5	25060	8530.2	4021.5	5969.1	16911
4593.3	4520	8141.6	3162.4	4203	3908.6	3658.8	2838	5068.8	5016.1	7399.6	25283	8594.1	4118.5	6124.6	17370
4511.6	4571.8	7768.4	3107.2	4131.2	3912.8	3612.8	2718.8	4938.7	4958.6	6509.4	22955	8403	4109.6	6059.9	17222
4399.3	4471.8	7336.3	3014.5	4039.9	3832.7	3519.8	2607.5	4741.5	4701	5982.1	21261	8161.6	4037.2	5900.6	16474
4356.4	4482.6	6995.3	2953.9	3941.4	3797.5	3494.3	2540.8	4647.2	4552.9	5397.1	19750	8036.6	4071.6	5910.2	16228
4298.9	4509.1	6883.3	2951.4	3915.4	3812.5	3481.4	2507.7	4609.3	4698.5	5119.4	18777	7938	4072.7	5910.2	16200
